iter	MultiClass
0	1.054783549
1	1.019131709
2	0.9879643971
3	0.9620168528
4	0.9388344053
5	0.9193286535
6	0.9040009573
7	0.8916647506
8	0.8783837519
9	0.8674399296
10	0.8584173169
11	0.8499983248
12	0.8412839549
13	0.8348574427
14	0.8278687511
15	0.8227201298
16	0.8169727645
17	0.812178434
18	0.8075588407
19	0.8034523519
20	0.7994661811
21	0.7962478591
22	0.7928533457
23	0.7906239104
24	0.7873771613
25	0.7848414171
26	0.7817724868
27	0.7788000001
28	0.7759478799
29	0.77358913
30	0.7713111243
31	0.7688869726
32	0.7671348972
33	0.7645892606
34	0.7628347516
35	0.7610175039
36	0.759162713
37	0.7576024197
38	0.755849753
39	0.7542893238
40	0.7521176906
41	0.7497201826
42	0.7481629105
43	0.7469806137
44	0.7457040931
45	0.7438761551
46	0.7426118509
47	0.7412187756
48	0.7398395616
49	0.7385683434
50	0.7368274005
51	0.735077504
52	0.734018134
53	0.7327291655
54	0.7317178051
55	0.7307580732
56	0.7294343143
57	0.7283031472
58	0.7270995216
59	0.7261076802
60	0.7250606714
61	0.7237634357
62	0.7225747536
63	0.7216024008
64	0.7202482878
65	0.7191912571
66	0.7184700467
67	0.7178267161
68	0.7172104649
69	0.7163481551
70	0.7154825539
71	0.7146184329
72	0.7139498495
73	0.7129535213
74	0.712235842
75	0.7112501049
76	0.7102555049
77	0.7095311038
78	0.7088267052
79	0.7076505553
80	0.7068987357
81	0.7060334241
82	0.7055590857
83	0.7045342672
84	0.7039280776
85	0.7034232399
86	0.7027209634
87	0.7020316496
88	0.7010833413
89	0.7004651681
90	0.6999640593
91	0.6994188768
92	0.6988732475
93	0.6979824572
94	0.6972600412
95	0.6967267412
96	0.6956292299
97	0.6950853658
98	0.6943932601
99	0.6934900025
100	0.6930128386
101	0.6920233041
102	0.6913684418
103	0.6908296064
104	0.6899886839
105	0.6893006062
106	0.6889122687
107	0.6883750798
108	0.6878143262
109	0.6873461223
110	0.686700796
111	0.6860249147
112	0.6856394333
113	0.6849692696
114	0.6844373711
115	0.6838291251
116	0.6831922153
117	0.6824855613
118	0.6819577211
119	0.6810809045
120	0.6805100626
121	0.6801034881
122	0.6793053658
123	0.6787600034
124	0.6781503305
125	0.6777612085
126	0.6771846626
127	0.6766598721
128	0.6758410498
129	0.6753944955
130	0.6746780843
131	0.6743121133
132	0.6739081479
133	0.6732403719
134	0.6728362305
135	0.6723669993
136	0.671856919
137	0.6714655939
138	0.6708391925
139	0.6704572136
140	0.6700003511
141	0.6696105381
142	0.6690756825
143	0.6687392634
144	0.6684124788
145	0.6681259094
146	0.6675272445
147	0.6671021742
148	0.6668241456
149	0.6664507561
150	0.6658682641
151	0.6655492646
152	0.6647434899
153	0.6643254313
154	0.6636617885
155	0.6633307257
156	0.6628595972
157	0.662188335
158	0.6616969351
159	0.6611561384
160	0.6607504476
161	0.6603046822
162	0.6599359431
163	0.6595167566
164	0.6593563285
165	0.6591045156
166	0.6588879184
167	0.658581219
168	0.6579768041
