iter	Passed	Remaining
0	76	76081
1	89	44632
2	102	34088
3	116	28898
4	130	25925
5	143	23796
6	158	22443
7	172	21401
8	187	20670
9	201	19938
10	215	19356
11	230	18936
12	244	18569
13	258	18230
14	272	17884
15	286	17649
16	299	17311
17	312	17035
18	325	16780
19	337	16557
20	350	16335
21	363	16151
22	376	15991
23	390	15883
24	405	15802
25	419	15706
26	434	15641
27	447	15531
28	460	15433
29	475	15361
30	488	15273
31	502	15196
32	515	15117
33	529	15047
34	542	14966
35	556	14895
36	570	14836
37	583	14777
38	596	14705
39	610	14653
40	624	14596
41	638	14566
42	652	14515
43	665	14462
44	680	14444
45	694	14406
46	708	14363
47	721	14309
48	735	14268
49	748	14229
50	762	14181
51	775	14141
52	788	14091
53	801	14047
54	815	14008
55	828	13966
56	841	13923
57	854	13874
58	867	13834
59	880	13795
60	894	13773
61	908	13744
62	923	13728
63	936	13697
64	950	13665
65	962	13625
66	976	13595
67	989	13563
68	1003	13535
69	1016	13506
70	1029	13476
71	1044	13460
72	1058	13442
73	1072	13417
74	1086	13396
75	1099	13373
76	1113	13348
77	1126	13319
78	1140	13294
79	1154	13274
80	1168	13258
81	1182	13238
82	1196	13216
83	1210	13197
84	1223	13175
85	1237	13149
86	1251	13129
87	1265	13112
88	1278	13086
89	1291	13063
90	1304	13032
91	1317	13005
92	1330	12975
93	1344	12954
94	1357	12930
95	1371	12912
96	1384	12889
97	1398	12872
98	1413	12862
99	1427	12848
100	1442	12836
101	1457	12828
102	1471	12819
103	1486	12811
104	1501	12796
105	1515	12782
106	1529	12766
107	1544	12759
108	1560	12754
109	1575	12748
110	1590	12742
111	1606	12735
112	1620	12723
113	1635	12709
114	1650	12703
115	1666	12703
116	1682	12697
117	1696	12678
118	1709	12657
119	1723	12639
120	1736	12614
121	1749	12593
122	1763	12572
123	1776	12548
124	1789	12529
125	1803	12509
126	1818	12498
127	1832	12481
128	1846	12470
129	1861	12455
130	1875	12438
131	1888	12421
132	1902	12402
133	1916	12385
134	1930	12367
135	1944	12355
136	1959	12344
137	1973	12327
138	1988	12314
139	2002	12302
140	2017	12288
141	2031	12272
142	2046	12263
143	2060	12248
144	2074	12232
145	2088	12218
146	2104	12209
147	2117	12192
148	2132	12176
149	2146	12164
150	2160	12145
151	2173	12125
152	2187	12109
153	2200	12088
154	2214	12073
155	2228	12058
156	2242	12040
157	2255	12022
158	2269	12002
159	2283	11986
160	2296	11968
161	2310	11953
162	2324	11936
163	2337	11916
164	2350	11896
165	2364	11880
166	2378	11865
167	2393	11854
168	2407	11839
169	2421	11822
170	2435	11807
171	2449	11792
172	2463	11774
173	2477	11760
174	2491	11743
175	2504	11727
176	2518	11710
177	2532	11694
178	2545	11676
179	2559	11658
180	2572	11642
181	2586	11625
182	2601	11612
183	2614	11594
184	2628	11577
185	2641	11560
186	2655	11543
187	2669	11527
188	2683	11512
189	2696	11497
190	2710	11481
191	2724	11465
192	2740	11457
193	2753	11441
194	2767	11425
195	2780	11404
196	2794	11389
197	2807	11371
198	2820	11354
199	2834	11338
200	2848	11324
201	2861	11306
202	2875	11290
203	2889	11274
204	2902	11256
205	2915	11239
206	2930	11224
207	2943	11209
208	2957	11193
209	2970	11174
210	2983	11156
211	2996	11139
212	3009	11120
213	3022	11101
214	3035	11082
215	3048	11064
216	3060	11043
217	3073	11025
218	3086	11007
219	3100	10991
220	3113	10976
221	3127	10959
222	3141	10946
223	3155	10930
224	3168	10914
225	3182	10898
226	3196	10885
227	3209	10867
228	3223	10852
229	3236	10835
230	3250	10819
231	3263	10803
232	3276	10785
233	3289	10768
234	3303	10752
235	3316	10737
236	3330	10722
237	3343	10704
238	3356	10688
239	3369	10670
240	3382	10653
241	3395	10635
242	3408	10618
243	3421	10599
244	3434	10585
245	3448	10569
246	3461	10552
247	3474	10535
248	3487	10518
249	3500	10500
250	3513	10484
251	3526	10467
252	3540	10453
